packaged_file,source_role,sha256,source_path_in_project_bundle
source_artifacts/STAGE2A1_FROZEN_PHASESPACE_SOURCE_v0_7_1.csv,parent observational phase-space registry,287604428e47d135bedf5fdfb60a434b454d11d4e9d41f7fdbddef9cf5225a8b,02_METADATA/STAGE2A1_FROZEN_PHASESPACE_SOURCE_v0_7_1.csv
source_artifacts/stage1c2_initial_state_registry.csv,Galactocentric state registry,99a6fdfa23e6ba7667da4a7e151c7f8d57e7df5aff6df1e12aca362d3b0c3528,04_ORBITS/stage1c2_initial_state_registry.csv
source_artifacts/CLEANROOM_T6_CHAOS_REPLICATION_MATRIX_v1_0_0.json,frozen confirmatory strata and Lyapunov matrix,e5fc72b1caed0d9a89644b3f0246344b9823a0d71b49b0ce482639470e204b4b,02_METADATA/CLEANROOM_T6_CHAOS_REPLICATION_MATRIX_v1_0_0.json
source_artifacts/t6_v1_0_6_96row_chaos_classification_results_v1_0_0.json,authoritative 96-row Lyapunov classification,75b9b7bb663a927699f8038122638b194ed9db047c10746f3b0d1223a544006a,09_VALIDATION/t6_v1_0_6_96row_chaos_classification_results_v1_0_0.json
source_artifacts/t6_v1_0_6_endpoint_preflight_functional_grouping_false_gate_forensics_v1_0_0.json,cluster-potential functional classification map,822aa7c8c654fd272f4bf789654a06317a6f440aa79381f825e283196f328397,09_VALIDATION/t6_v1_0_6_endpoint_preflight_functional_grouping_false_gate_forensics_v1_0_0.json
source_artifacts/t6_v1_0_6_primary_endpoint_synthesis_results_v1_0_0.json,primary endpoint synthesis,49d1338caed7b218f81b1ed44d63ecf49d68c10c2539914c154641d9895f1b2e,09_VALIDATION/t6_v1_0_6_primary_endpoint_synthesis_results_v1_0_0.json
source_artifacts/cleanroom_t5_tidal_functional_memory_horizons.json,discovery functional-horizon policy application,286a5b5fe17fc3710f9b5c76301ad9b452ff9c9251c5f7d9a2521c058259425f,09_VALIDATION/cleanroom_t5_tidal_functional_memory_horizons.json
source_artifacts/cleanroom_t5_chaos_annotation_result.json,discovery Lyapunov annotation,ada97e133cf76dbee666549c750731afbcdc03a105cfe678b68f4b6b4b87cec6,09_VALIDATION/cleanroom_t5_chaos_annotation_result.json
data/mcmillan17_discovery_failure_modes.csv,discovery-stage McMillan17 scalar failure-mode diagnostic,b9f0c05d0cca51d728d3c24361dfc298a6c1b2423ac3181cfda7559aea3d23c6,validation/t5_mcmillan17_acceptance_scalar_failure_modes.csv
data/observable_draw_bank_165x1024.npz,existing 165x1024 observational draw bank; not propagated through confirmatory endpoints,56a1fd6952a3a8a3a12788c5a8915cb87776c7f1c0d74a4a01ba1b2375c8df5d,07_ORBIT_MC_PRODUCTION/stage2a4c2_observable_draw_bank_165x1024.npz
